id,collection_id,volume,name_eng,name_jp,cover_image,release_date,description,created_at
7,7,1,,ポケモン おうちでリラックスマスコット,https://gzorpfbhsnjtozrodqei.supabase.co/storage/v1/object/public/volume-covers/at-home-relaxation-mascot-vol-1.webp,,,2026-07-09 11:33:37.966048+00
8,7,4,,ポケモン おうちでリラックスマスコット,https://gzorpfbhsnjtozrodqei.supabase.co/storage/v1/object/public/volume-covers/at-home-relaxation-mascot-vol-4.webp,,,2026-07-09 11:33:38.136086+00
9,8,3,,ポケモン バトルカプセルトイ Vol.3,https://gzorpfbhsnjtozrodqei.supabase.co/storage/v1/object/public/volume-covers/battle-capsule-toys-vol-3.webp,,,2026-07-09 11:33:38.445717+00
10,9,1,,ポケモン ジオラマコレクト ほのお＆くさ Vol.1,https://gzorpfbhsnjtozrodqei.supabase.co/storage/v1/object/public/volume-covers/diorama-collect-fire-grass-vol-1.webp,,,2026-07-09 11:33:38.769709+00
11,10,2,,ポケモンの森 Vol.2 / ポケモン フォレストシリーズ Vol.2,https://gzorpfbhsnjtozrodqei.supabase.co/storage/v1/object/public/volume-covers/forest-series-vol-2.webp,,,2026-07-09 11:33:39.000304+00
12,11,7,Sinnoh Region,ポケモン フニットマスコット Vol.7 シンオウ地方,https://gzorpfbhsnjtozrodqei.supabase.co/storage/v1/object/public/volume-covers/funit-mascot-vol-7-sinnoh.webp,,,2026-07-09 11:33:39.231302+00
13,12,1,Everyone Sleeps,ポケモン おやすみフレンズ Vol.1,https://gzorpfbhsnjtozrodqei.supabase.co/storage/v1/object/public/volume-covers/good-night-friends-vol-1-everyone-sleeps.webp,,,2026-07-09 11:33:39.533356+00
14,13,1,,ポケモン カントーいっぱいコレクション Vol.1,https://gzorpfbhsnjtozrodqei.supabase.co/storage/v1/object/public/volume-covers/kanto-full-collection-vol-1.webp,,,2026-07-09 11:33:39.765954+00
15,14,1,,肩ズンFig. ポケモン,https://gzorpfbhsnjtozrodqei.supabase.co/storage/v1/object/public/volume-covers/katazun-pokmon-vol-1.webp,,,2026-07-09 11:33:40.01335+00
16,14,5,,肩ズンFig. ポケモン,https://gzorpfbhsnjtozrodqei.supabase.co/storage/v1/object/public/volume-covers/katazun-pokmon-vol-5.webp,,,2026-07-09 11:33:40.087109+00
17,15,2,,ポケモン まんぷくぱくぱくマスコット,https://gzorpfbhsnjtozrodqei.supabase.co/storage/v1/object/public/volume-covers/manpuku-pakupaku-mascot-vol-2.webp,,,2026-07-09 11:33:40.320986+00
18,15,3,,ポケモン まんぷくぱくぱくマスコット,https://gzorpfbhsnjtozrodqei.supabase.co/storage/v1/object/public/volume-covers/manpuku-pakupaku-mascot-vol-3.webp,,,2026-07-09 11:33:40.399142+00
19,16,1,,ポケモン ミニガチャマシン Vol.1,https://gzorpfbhsnjtozrodqei.supabase.co/storage/v1/object/public/volume-covers/mini-gacha-pok-machine-vol-1.webp,,,2026-07-09 11:33:40.631705+00
20,17,1,,ポケモン みんなであわあわマスコット Vol.1,https://gzorpfbhsnjtozrodqei.supabase.co/storage/v1/object/public/volume-covers/minna-de-awa-awa-mascot-vol-1.webp,,,2026-07-09 11:33:40.861205+00
21,18,2,,ポケモン スナップムーブ Vol.2,https://gzorpfbhsnjtozrodqei.supabase.co/storage/v1/object/public/volume-covers/snap-move-vol-2.webp,,,2026-07-09 11:33:41.092752+00
22,19,1,,ポケモン すりすりマスコット Vol.1,https://gzorpfbhsnjtozrodqei.supabase.co/storage/v1/object/public/volume-covers/suri-suri-mascot-vol-1.webp,,,2026-07-09 11:33:41.320145+00
23,20,1,,ポケモン Yummyスイーツマスコット,https://gzorpfbhsnjtozrodqei.supabase.co/storage/v1/object/public/volume-covers/yummy-sweets-mascot-vol-1.webp,,,2026-07-09 11:33:41.553867+00
24,20,2,,ポケモン Yummyスイーツマスコット,https://gzorpfbhsnjtozrodqei.supabase.co/storage/v1/object/public/volume-covers/yummy-sweets-mascot-vol-2.webp,,,2026-07-09 11:33:41.63219+00
25,20,3,,ポケモン Yummyスイーツマスコット,https://gzorpfbhsnjtozrodqei.supabase.co/storage/v1/object/public/volume-covers/yummy-sweets-mascot-vol-3.webp,,,2026-07-09 11:33:41.710599+00
26,20,5,,ポケモン Yummyスイーツマスコット,https://gzorpfbhsnjtozrodqei.supabase.co/storage/v1/object/public/volume-covers/yummy-sweets-mascot-vol-5.webp,,,2026-07-09 11:33:41.790959+00
27,20,6,,ポケモン Yummyスイーツマスコット,https://gzorpfbhsnjtozrodqei.supabase.co/storage/v1/object/public/volume-covers/yummy-sweets-mascot-vol-6.webp,,,2026-07-09 11:33:41.867572+00
28,20,7,,ポケモン Yummyスイーツマスコット,https://gzorpfbhsnjtozrodqei.supabase.co/storage/v1/object/public/volume-covers/yummy-sweets-mascot-vol-7.webp,,,2026-07-09 11:33:41.940575+00